row,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14
sample-15,0,0.377943798575775,0.222379664826144,0.385256683223756,0.4812573112297,0.491220949596524,0.630154247531772,0.43123804605234,0.685713591894675,0.581132774329327,0.500214378129574,0.384653564608163,0.518494851422332,0.708336355963896,0.306696762358575,0.375055272747865,0.579607651724666,0.278742626730821,0.403060186994909,0.538708115892726,0.529573515453065,0.317949558030019,0.45971862839115,0.331970109838371,0.375811986241347,0.331471475132021,0.538970519523774,0.362594701461664,0.329556035159107,0.434970208998594,0.717320287522046
sample-23,0.377943798575775,0,0.35624034013484,0.415006708874603,0.507373844015408,0.412596969211209,0.658966704697776,0.416357519072791,0.694211126626131,0.58980925938267,0.540015444999025,0.376666445719099,0.519076418460038,0.683728376060388,0.401251391788963,0.389233722347645,0.537084206946685,0.397539939867227,0.412018814533686,0.573692109894648,0.583436232790628,0.402945500319834,0.505576576912952,0.463744994772974,0.408256681371434,0.457303030323934,0.630657568751035,0.441781962708926,0.428553026357283,0.486602528435011,0.722124924557294
sample-10,0.222379664826144,0.35624034013484,0,0.356046889078302,0.495205228614934,0.498286735632798,0.648259823332783,0.436965990861535,0.697415811947386,0.599217718310506,0.51796171442007,0.3797186944763,0.537038624783291,0.688955104021145,0.286880011163131,0.358814573848985,0.569971413642289,0.291844860822217,0.405658638136809,0.527270302707036,0.5485487299873,0.308061822412099,0.459710307191046,0.307502382715316,0.362826499816662,0.299672000049432,0.571443037250006,0.381695226156314,0.28644464594385,0.434205666717302,0.712428953579943
sample-5,0.385256683223756,0.415006708874603,0.356046889078302,0,0.458540136687869,0.513204331222499,0.521319833904276,0.453508462912578,0.73323913205155,0.505541226733737,0.503806969423509,0.483552080750604,0.450768925259835,0.650423499053573,0.333335602524797,0.347355561578716,0.594096318133479,0.410771014375359,0.527823665585875,0.463966753374336,0.561282956794396,0.392563832028773,0.608805596540495,0.378881700742282,0.302420148076951,0.374009273951219,0.637247754466151,0.467088397195853,0.383858779890532,0.492496678378252,0.641592963249007
sample-85,0.4812573112297,0.507373844015408,0.495205228614934,0.458540136687869,0,0.49683562646737,0.411084198161785,0.452777499213692,0.474355266993927,0.347743659387427,0.369217414438521,0.48382442229759,0.288929476265274,0.708770010400066,0.500050075417225,0.438324067905034,0.550456968274182,0.507740662453386,0.425848818634612,0.460535671799973,0.424684685486516,0.465441028583596,0.586487269164496,0.55579429684235,0.445080152003917,0.582488335241756,0.623289322588514,0.503355109605965,0.533218838999033,0.460098724144747,0.675094986118245
sample-6,0.491220949596524,0.412596969211209,0.498286735632798,0.513204331222499,0.49683562646737,0,0.62729480483222,0.343858212334322,0.654782151176115,0.575083487605135,0.497246460366797,0.49186620003161,0.518710986355221,0.784951783178443,0.507315465556289,0.536021606187379,0.632138266789687,0.546847349949821,0.492630473832674,0.606240746905711,0.559587712665971,0.462722237925339,0.60660279456048,0.539944045407931,0.504789473574418,0.581931271646872,0.596154062310326,0.419798894275685,0.501429287303991,0.409913533059411,0.682582074244404
sample-81,0.630154247531772,0.658966704697776,0.648259823332783,0.521319833904276,0.411084198161785,0.62729480483222,0,0.586938739344945,0.548385636603227,0.34850473012061,0.451106590671814,0.642831326317512,0.429528677943103,0.719742580495812,0.635484032325168,0.474046289916974,0.656576353533367,0.657785265034592,0.621863288861126,0.504470454168934,0.472064588462487,0.592185659801741,0.723144047711474,0.677472396184511,0.454395994375738,0.706476908649763,0.675855237709315,0.643071288301204,0.66600539842114,0.567450173990952,0.68463233934959
sample-3,0.43123804605234,0.416357519072791,0.436965990861535,0.453508462912578,0.452777499213692,0.343858212334322,0.586938739344945,0,0.642948468749756,0.54124268247281,0.456694980341688,0.464876450466706,0.452596675384516,0.765367065278201,0.444224019431158,0.480828231459389,0.62078331623522,0.488206344374989,0.474420092382644,0.55561192211889,0.486898524295936,0.383778347668738,0.591224089206622,0.492323789969424,0.435046003441316,0.535763549850468,0.563457613495853,0.375515585063291,0.439337794744772,0.361744341193119,0.671298694024558
sample-86,0.685713591894675,0.694211126626131,0.697415811947386,0.73323913205155,0.474355266993927,0.654782151176115,0.548385636603227,0.642948468749756,0,0.566792327845428,0.519846165144665,0.643730931176787,0.566536155388857,0.849597434864307,0.704207770960817,0.665012591300107,0.706655272721292,0.712402364932061,0.554358999404771,0.63239663835479,0.524316551772938,0.651473370096088,0.712435805632555,0.750983592040182,0.693926043796376,0.783714747091731,0.669035443045123,0.650357077209009,0.720246170567453,0.588527954893508,0.769546301005117
sample-80,0.581132774329327,0.58980925938267,0.599217718310506,0.505541226733737,0.347743659387427,0.575083487605135,0.34850473012061,0.54124268247281,0.566792327845428,0,0.466353153746609,0.57618687107596,0.3909348000834,0.682570424967389,0.589335755441788,0.429128856553848,0.583350617472231,0.604069172829089,0.536811255559978,0.494743336618686,0.49849205754868,0.540158834374492,0.633223880549032,0.637287361840887,0.446265719824754,0.664621277346752,0.675619281807373,0.579966586379792,0.616650074620929,0.535904589704606,0.702881523106083
sample-84,0.500214378129574,0.540015444999025,0.51796171442007,0.503806969423509,0.369217414438521,0.497246460366797,0.451106590671814,0.456694980341688,0.519846165144665,0.466353153746609,0,0.53379766741547,0.415261353597957,0.781633401573268,0.518989940830567,0.514131550159323,0.642397302268542,0.552896828728251,0.521822278992182,0.55379935399479,0.395308647302143,0.483397914811534,0.642980870918979,0.558605465440754,0.500012773965924,0.603551200893384,0.556874721870781,0.508963782762407,0.537271414270414,0.453111654763633,0.665890334884559
sample-25,0.384653564608163,0.376666445719099,0.3797186944763,0.483552080750604,0.48382442229759,0.49186620003161,0.642831326317512,0.464876450466706,0.643730931176787,0.57618687107596,0.53379766741547,0,0.525834467212374,0.662895318838109,0.4497568504945,0.414030678542422,0.509125261250271,0.426074063853246,0.321655181497505,0.575039583176145,0.588017621416845,0.44584094832986,0.436245004742969,0.512403311371142,0.460587155190556,0.502801710717803,0.604548584179471,0.445127019025849,0.461838447738236,0.492113997715861,0.725861178979073
sample-87,0.518494851422332,0.519076418460038,0.537038624783291,0.450768925259835,0.288929476265274,0.518710986355221,0.429528677943103,0.452596675384516,0.566536155388857,0.3909348000834,0.415261353597957,0.525834467212374,0,0.709227959317504,0.524054305353554,0.468350945999576,0.598144053882818,0.546541443177897,0.496525406375427,0.471431974541611,0.458267697581123,0.518654684109658,0.633844227198412,0.572076915413453,0.443746235035925,0.601480505959989,0.651913632339526,0.539491158701299,0.558277326923375,0.503999815143617,0.688426595460447
sample-13,0.708336355963896,0.683728376060388,0.688955104021145,0.650423499053573,0.708770010400066,0.784951783178443,0.719742580495812,0.765367065278201,0.849597434864307,0.682570424967389,0.781633401573268,0.662895318838109,0.709227959317504,0,0.715837172056791,0.570189752758211,0.54823405987667,0.708403555701383,0.621207732328932,0.698117260496194,0.811306317330961,0.727184518269895,0.570027504206992,0.781319211517165,0.603329271025174,0.760626031090015,0.80851020304265,0.759224799263282,0.752197012470235,0.779154338665026,0.830836827975141
sample-1,0.306696762358575,0.401251391788963,0.286880011163131,0.333335602524797,0.500050075417225,0.507315465556289,0.635484032325168,0.444224019431158,0.704207770960817,0.589335755441788,0.518989940830567,0.4497568504945,0.524054305353554,0.715837172056791,0,0.42846438586409,0.590666209184481,0.353810944426193,0.485603851509502,0.537090460367786,0.547239626610355,0.332062566489351,0.565527933630413,0.296437545349049,0.405558141906725,0.302797987121512,0.584347444681513,0.391172805456236,0.304565810089736,0.460425594332709,0.714934548096761
sample-16,0.375055272747865,0.389233722347645,0.358814573848985,0.347355561578716,0.438324067905034,0.536021606187379,0.474046289916974,0.480828231459389,0.665012591300107,0.429128856553848,0.514131550159323,0.414030678542422,0.468350945999576,0.570189752758211,0.42846438586409,0,0.459426560116913,0.412104635812355,0.391156257582812,0.431290987419088,0.555427105534906,0.347024533850508,0.4756767040226,0.462104766429975,0.252707277580253,0.445211066254763,0.617300846898576,0.4448115578143,0.436566763323855,0.480231543505648,0.676302270718066
sample-9,0.579607651724666,0.537084206946685,0.569971413642289,0.594096318133479,0.550456968274182,0.632138266789687,0.656576353533367,0.62078331623522,0.706655272721292,0.583350617472231,0.642397302268542,0.509125261250271,0.598144053882818,0.54823405987667,0.590666209184481,0.459426560116913,0,0.597642225955074,0.428686650113816,0.616886435217176,0.694279307417244,0.595709400695464,0.462871749695409,0.714377623287005,0.539922431684783,0.689666014817352,0.734130388715688,0.620458170408961,0.66911674433669,0.627321765246584,0.739174697391921
sample-26,0.278742626730821,0.397539939867227,0.291844860822217,0.410771014375359,0.507740662453386,0.546847349949821,0.657785265034592,0.488206344374989,0.712402364932061,0.604069172829089,0.552896828728251,0.426074063853246,0.546541443177897,0.708403555701383,0.353810944426193,0.412104635812355,0.597642225955074,0,0.451512030314828,0.569260689083411,0.578945466978423,0.377631897594757,0.454643151003161,0.386142896441534,0.413190819479249,0.37327859640154,0.604539568698492,0.442738202225396,0.377990669380526,0.499434517046887,0.734481512031482
sample-11,0.403060186994909,0.412018814533686,0.405658638136809,0.527823665585875,0.425848818634612,0.492630473832674,0.621863288861126,0.474420092382644,0.554358999404771,0.536811255559978,0.521822278992182,0.321655181497505,0.496525406375427,0.621207732328932,0.485603851509502,0.391156257582812,0.428686650113816,0.451512030314828,0,0.558772167737181,0.570886620803083,0.461012884281921,0.346443764614402,0.559338161287025,0.481137509955353,0.537763060723029,0.62234948678606,0.458949477430069,0.511228115277018,0.480111263122664,0.757955101163677
