Genera,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14,avg_count
Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,144.611186903138,82.6909600560618,47.7308294209703,84.0455840455841,59.0277777777778,7.79510022271715,29.0023201856148,27.6422764227642,25.0783699059561,72.7848101265824,84.6511627906978,88.7918486171762,76.2016412661196,76.9230769230771,80.0821355236139,41.4276609305291,37.8947368421053,395.527603074774,23.0179028132993,125.195618153365,41.8071476736346,34.535686876439,300.852618757613,13.1034482758621,101.516150296638,11.208967173739,175.843694493784,73.6434108527132,36.7936925098555,17.7215189873418,12.3076923076923,78.3695687163624
Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium,10.9140518417463,10.5115627189909,14.0845070422535,23.2668566001899,56.1342592592593,22.2717149220491,13.9211136890952,14.6341463414634,19.5924764890282,34.8101265822785,20.4651162790698,24.745269286754,96.1313012895663,69.4183864915573,7.52908966461328,9.5602294455067,6.31578947368422,4.19287211740042,25.5754475703325,7.8247261345853,12.1375590020229,6.9071373752878,10.9622411693057,2.06896551724138,29.004614370468,0.800640512409928,21.3143872113677,7.75193798449613,2.6281208935611,15.1898734177215,15.3846153846154,19.8725527767071
Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium 1,58.6630286493862,491.240364400841,68.075117370892,541.310541310541,222.800925925926,368.596881959912,147.331786542923,158.536585365854,90.909090909091,202.53164556962,110.697674418605,107.714701601165,561.547479484174,420.262664165103,96.5092402464066,148.502230720204,214.736842105263,46.8204053109714,117.647058823529,262.910798122066,204.315576534052,96.6999232540293,63.3373934226554,8.96551724137933,171.39090309822,20.0160128102482,126.110124333926,109.819121447028,105.124835742444,137.974683544304,258.461538461539,185.147119125558
Actinobacteria; Actinobacteria; Corynebacteriales; Dietziaceae; Dietzia,10.2319236016371,112.824106517169,5.47730829420971,36.5622032288699,48.6111111111111,37.8619153674834,16.2412993039443,28.4552845528455,6.26959247648903,50.6329113924051,14.8837209302326,32.0232896652111,49.2379835873388,7.50469043151971,10.9514031485284,22.3072020395156,27.3684210526316,6.98812019566736,23.0179028132993,71.9874804381847,24.9494268374916,6.9071373752878,6.09013398294763,2.06896551724138,10.547132498352,1.60128102481986,7.10479573712256,10.3359173126615,9.19842312746387,3.79746835443038,3.07692307692308,22.7456604836463
Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Micrococcus,1.36425648021828,12.6138752627891,5.47730829420971,10.9211775878443,44.5601851851852,5.56792873051225,20.8816705336427,13.0081300813008,117.554858934169,36.9198312236287,23.2558139534884,42.212518195051,85.5803048065651,26.266416510319,8.89801505817934,10.8349267049076,8.42105263157896,5.59049615653389,15.9846547314578,68.8575899843506,26.298044504383,4.60475825019186,7.30816077953716,1.37931034482759,3.955174686882,2.40192153722979,15.9857904085258,11.6279069767442,9.19842312746387,5.06329113924051,3.07692307692308,21.1506682541252
Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides,16.3710777626194,82.6909600560617,17.9968701095462,26.1158594491928,103.587962962963,37.8619153674833,63.8051044083526,34.9593495934959,161.442006269593,75.9493670886076,92.093023255814,45.1237263464338,79.1324736225089,28.1425891181989,25.325119780972,73.9324410452518,77.8947368421053,32.8441649196366,59.4629156010231,62.5978090766824,49.8988536749831,26.0936300844206,58.4652862362973,1.37931034482759,55.372445616348,5.60448358686951,7.10479573712256,12.9198966408269,9.19842312746387,32.9113924050633,6.15384615384616,47.17522052531
Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,378.581173260574,183.601962158374,356.025039123631,435.422602089269,313.657407407408,210.467706013363,237.819025522042,147.967479674797,97.9623824451411,170.886075949367,506.046511627907,154.29403202329,366.94021101993,67.5422138836774,351.813826146475,205.226258763544,21.0526315789474,310.971348707198,116.368286445013,197.183098591549,293.324342548887,211.818879508826,79.1717417783193,422.068965517242,218.193803559657,433.146517213772,154.529307282416,167.958656330749,346.911957950066,145.569620253165,52.3076923076924,237.252605054267
Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; uncultured,4.77489768076398,49.7547302032235,8.60719874804383,9.49667616334284,8.10185185185186,4.4543429844098,5.80046403712297,7.31707317073171,3.13479623824452,8.43881856540085,7.44186046511628,26.2008733624455,4.1031652989449,1.87617260787993,9.58247775496237,7.01083492670491,21.0526315789474,27.2536687631027,3.19693094629156,7.8247261345853,6.06877950101146,3.83729854182655,13.3982947624848,6.20689655172414,21.094264996704,7.20576461168936,1.77619893428064,7.75193798449613,11.826544021025,2.53164556962025,418.461538461539,23.40591469092
Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella,40.9276944065484,23.8262088297127,52.4256651017215,83.5707502374169,36.4583333333333,14.4766146993319,46.4037122969838,19.5121951219512,11.7554858934169,13.7130801687764,38.139534883721,20.3784570596798,45.1348182883939,5.62851782363978,80.082135523614,19.1204588910134,2.10526315789474,56.6037735849057,13.4271099744246,4.69483568075118,37.7612946729602,18.4190330007675,8.52618757612668,135.172413793104,17.139090309822,148.118494795837,14.2095914742451,10.3359173126615,34.1655716162943,35.4430379746836,9.23076923076924,35.3840660230485
Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,267.394270122783,187.105816398038,217.527386541471,290.123456790124,159.143518518519,81.2917594654789,98.6078886310906,86.9918699186992,56.4263322884013,69.620253164557,141.395348837209,98.9810771470161,143.610785463072,9.38086303939964,290.896646132786,140.216698534098,4.21052631578948,270.440251572327,62.0204603580563,162.754303599374,136.210384356035,200.306983883346,38.9768574908648,340.689655172414,184.57481872116,378.702962369896,26.6429840142096,120.15503875969,291.721419185283,105.063291139241,52.3076923076924,152.048116136714
Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Rikenellaceae RC9 gut group,208.731241473397,175.192711983181,216.744913928013,260.683760683761,150.462962962963,57.9064587973274,135.730858468678,94.3089430894309,40.7523510971787,109.704641350211,68.8372093023257,131.004366812227,186.987104337632,15.0093808630394,276.522929500342,151.688973868706,46.3157894736842,251.572327044025,62.0204603580563,90.7668231611894,155.091031692515,158.864159631619,35.3227771010963,309.655172413793,163.480553724456,403.522818254604,19.538188277087,109.819121447028,275.952693823916,79.746835443038,280.000000000001,152.320566463372
